"gender","race_ethnicity","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score","total_score","average_score","avg_math_score","avg_reading_score","avg_writing_score"
1,group A,associate's degree,0,0,47,57,44,148,49.333333333333336,66.0890,69.1690,68.0540
1,group B,some college,0,0,40,43,39,122,40.666666666666664,66.0890,69.1690,68.0540
1,group D,high school,0,1,64,64,67,195,65.0,66.0890,69.1690,68.0540
0,group B,high school,0,0,38,60,50,148,49.333333333333336,66.0890,69.1690,68.0540
1,group C,associate's degree,1,0,58,54,52,164,54.666666666666664,66.0890,69.1690,68.0540
1,group D,associate's degree,1,0,40,52,43,135,45.0,66.0890,69.1690,68.0540
0,group A,master's degree,1,0,50,53,58,161,53.666666666666664,66.0890,69.1690,68.0540
0,group B,some high school,0,0,18,32,28,78,26.0,66.0890,69.1690,68.0540
1,group C,master's degree,0,1,46,42,46,134,44.666666666666664,66.0890,69.1690,68.0540
0,group C,associate's degree,0,0,54,58,61,173,57.666666666666664,66.0890,69.1690,68.0540
1,group D,high school,1,0,66,69,63,198,66.0,66.0890,69.1690,68.0540
1,group D,some college,1,0,44,54,53,151,50.333333333333336,66.0890,69.1690,68.0540
0,group B,some college,1,0,63,65,61,189,63.0,66.0890,69.1690,68.0540
1,group D,some college,1,0,40,42,38,120,40.0,66.0890,69.1690,68.0540
0,group D,some high school,0,0,50,64,59,173,57.666666666666664,66.0890,69.1690,68.0540
1,group B,associate's degree,0,0,57,56,57,170,56.666666666666664,66.0890,69.1690,68.0540
1,group C,associate's degree,0,0,55,61,54,170,56.666666666666664,66.0890,69.1690,68.0540
0,group B,associate's degree,1,0,53,58,65,176,58.666666666666664,66.0890,69.1690,68.0540
1,group B,some college,0,1,59,65,66,190,63.333333333333336,66.0890,69.1690,68.0540
0,group E,associate's degree,0,0,50,56,54,160,53.333333333333336,66.0890,69.1690,68.0540
1,group B,associate's degree,1,0,65,54,57,176,58.666666666666664,66.0890,69.1690,68.0540
0,group A,associate's degree,1,1,55,65,62,182,60.666666666666664,66.0890,69.1690,68.0540
1,group E,some college,1,0,53,55,48,156,52.0,66.0890,69.1690,68.0540
1,group C,some college,1,0,53,44,42,139,46.333333333333336,66.0890,69.1690,68.0540
0,group C,high school,0,0,33,41,43,117,39.0,66.0890,69.1690,68.0540
1,group D,associate's degree,1,0,52,55,49,156,52.0,66.0890,69.1690,68.0540
1,group D,some college,1,1,58,59,58,175,58.333333333333336,66.0890,69.1690,68.0540
0,group C,some high school,0,0,0,17,10,27,9.0,66.0890,69.1690,68.0540
1,group A,some high school,0,0,39,39,34,112,37.333333333333336,66.0890,69.1690,68.0540
1,group A,associate's degree,0,0,62,61,55,178,59.333333333333336,66.0890,69.1690,68.0540
0,group D,some high school,1,0,59,58,59,176,58.666666666666664,66.0890,69.1690,68.0540
1,group D,some high school,0,0,45,37,37,119,39.666666666666664,66.0890,69.1690,68.0540
1,group B,associate's degree,0,0,61,58,56,175,58.333333333333336,66.0890,69.1690,68.0540
0,group C,associate's degree,1,0,39,64,57,160,53.333333333333336,66.0890,69.1690,68.0540
1,group D,some college,1,1,63,55,63,181,60.333333333333336,66.0890,69.1690,68.0540
0,group A,associate's degree,0,0,41,51,48,140,46.666666666666664,66.0890,69.1690,68.0540
1,group C,some high school,0,0,61,57,56,174,58.0,66.0890,69.1690,68.0540
1,group C,some high school,1,0,49,49,41,139,46.333333333333336,66.0890,69.1690,68.0540
1,group B,associate's degree,0,0,44,41,38,123,41.0,66.0890,69.1690,68.0540
1,group E,some high school,1,0,30,26,22,78,26.0,66.0890,69.1690,68.0540
0,group E,master's degree,1,0,62,68,68,198,66.0,66.0890,69.1690,68.0540
0,group B,associate's degree,1,0,47,49,50,146,48.666666666666664,66.0890,69.1690,68.0540
1,group B,high school,0,0,49,45,45,139,46.333333333333336,66.0890,69.1690,68.0540
1,group A,some college,0,1,50,47,54,151,50.333333333333336,66.0890,69.1690,68.0540
1,group D,high school,0,0,42,39,34,115,38.333333333333336,66.0890,69.1690,68.0540
1,group C,high school,0,0,27,34,36,97,32.333333333333336,66.0890,69.1690,68.0540
1,group C,associate's degree,0,1,43,45,50,138,46.0,66.0890,69.1690,68.0540
1,group B,some high school,1,1,65,66,62,193,64.33333333333333,66.0890,69.1690,68.0540
0,group D,some college,0,0,58,67,62,187,62.333333333333336,66.0890,69.1690,68.0540
0,group D,bachelor's degree,1,0,65,67,62,194,64.66666666666667,66.0890,69.1690,68.0540
1,group B,high school,1,1,60,44,47,151,50.333333333333336,66.0890,69.1690,68.0540
1,group E,associate's degree,1,1,66,63,64,193,64.33333333333333,66.0890,69.1690,68.0540
1,group C,high school,1,0,62,55,49,166,55.333333333333336,66.0890,69.1690,68.0540
1,group A,associate's degree,1,0,54,53,47,154,51.333333333333336,66.0890,69.1690,68.0540
0,group D,some college,1,0,51,58,54,163,54.333333333333336,66.0890,69.1690,68.0540
0,group D,some high school,1,0,51,63,61,175,58.333333333333336,66.0890,69.1690,68.0540
0,group C,some college,1,0,55,69,65,189,63.0,66.0890,69.1690,68.0540
1,group D,high school,0,0,63,57,56,176,58.666666666666664,66.0890,69.1690,68.0540
0,group A,bachelor's degree,1,0,51,49,51,151,50.333333333333336,66.0890,69.1690,68.0540
1,group C,some high school,0,1,53,37,40,130,43.333333333333336,66.0890,69.1690,68.0540
1,group C,bachelor's degree,1,0,58,55,48,161,53.666666666666664,66.0890,69.1690,68.0540
1,group B,some high school,1,1,51,54,41,146,48.666666666666664,66.0890,69.1690,68.0540
0,group C,associate's degree,1,0,59,66,67,192,64.0,66.0890,69.1690,68.0540
0,group C,some college,0,0,59,62,64,185,61.666666666666664,66.0890,69.1690,68.0540
0,group E,some college,0,1,42,55,54,151,50.333333333333336,66.0890,69.1690,68.0540
1,group A,high school,1,0,57,43,47,147,49.0,66.0890,69.1690,68.0540
0,group C,some college,0,0,22,39,33,94,31.333333333333332,66.0890,69.1690,68.0540
1,group D,bachelor's degree,1,0,54,49,47,150,50.0,66.0890,69.1690,68.0540
1,group D,some high school,1,0,62,67,61,190,63.333333333333336,66.0890,69.1690,68.0540
