"simulated_date","revenue","num_of_transactions"
"2023-07-16",3419.0314999999996,9
"2023-07-09",3241.3185000000003,8
"2023-01-13",2970.083,5
"2023-08-23",2874.123,7
"2023-12-14",2749.3199999999997,8
"2023-11-02",2582.2550000000006,6
"2023-10-08",2539.279,4
"2023-09-28",2535.666,4
"2023-06-13",2448.684,5
"2023-01-21",2366.301,7
"2023-09-23",2297.6629999999996,3
"2023-10-16",2282.553,4
"2023-09-09",2276.421,4
"2023-07-01",2262.4775,6
"2023-07-02",2186.195,5
"2023-04-15",2090.865,3
"2023-04-21",2072.343,6
"2023-05-25",2050.02,6
"2023-11-06",2041.5994999999998,5
"2023-12-26",2015.612,4
"2023-03-23",2010.8450000000003,4
"2023-03-11",1947.9285000000002,5
"2023-05-10",1945.839,3
"2023-06-16",1922.655,3
"2023-05-29",1916.2509999999997,3
"2023-10-25",1910.9270000000001,5
"2023-06-15",1888.225,5
"2023-10-17",1886.5665000000001,6
"2023-02-15",1882.0095000000001,4
"2023-03-20",1876.7904999999998,4
"2023-01-01",1866.0494999999999,4
"2023-04-26",1838.5290000000002,5
"2023-02-18",1837.6995,6
"2023-03-19",1806.3885,5
"2023-07-17",1803.2489999999998,5
"2023-10-11",1800.278,4
"2023-05-31",1777.3035,5
"2023-07-13",1769.974,3
"2023-01-23",1769.8485,6
"2023-01-02",1762.4565,5
"2023-04-07",1760.2724999999998,3
"2023-12-12",1756.43,3
"2023-05-03",1716.8235,8
"2023-02-20",1711.773,3
"2023-11-09",1680.7565,5
"2023-08-02",1674.34,4
"2023-09-27",1671.3059999999998,3
"2023-11-25",1666.938,3
"2023-03-06",1654.905,6
"2023-10-23",1650.6840000000002,3
"2023-05-15",1641.087,3
"2023-09-21",1638.9555,5
"2023-05-17",1635.3015,6
"2023-01-05",1626.545,4
"2023-02-27",1594.8350000000003,6
"2023-12-19",1593.3964999999998,6
"2023-08-31",1586.476,3
"2023-08-22",1585.962,3
"2023-04-09",1569.0049999999999,6
"2023-07-06",1550.2839999999999,6
"2023-08-17",1544.4560000000001,3
"2023-07-29",1543.2794999999999,5
"2023-11-28",1526.4905,4
"2023-06-10",1521.765,4
"2023-06-06",1519.9170000000001,6
"2023-04-23",1512.851,4
"2023-01-08",1486.9460000000001,4
"2023-06-08",1484.585,3
"2023-07-11",1480.731,4
"2023-02-17",1469.3385,5
"2023-08-16",1464.5189999999998,3
"2023-06-19",1462.167,4
"2023-05-26",1448.6219999999998,3
"2023-09-25",1444.527,3
"2023-07-26",1442.931,2
"2023-09-03",1436.2959999999998,2
"2023-02-05",1429.197,4
"2023-06-14",1409.6985,3
"2023-08-03",1402.9685,5
"2023-07-12",1385.1284999999998,6
"2023-11-26",1357.409,4
"2023-07-05",1354.9925,6
"2023-06-03",1354.7730000000001,2
"2023-12-05",1346.184,6
"2023-05-14",1341.06,3
"2023-03-31",1316.879,4
"2023-11-11",1307.87,3
"2023-08-01",1284.4445,5
"2023-06-05",1272.002,5
"2023-10-20",1264.0425,3
"2023-03-29",1259.8000000000002,3
"2023-04-12",1246.3709999999999,4
"2023-10-14",1242.969,4
"2023-03-27",1237.32,3
"2023-03-03",1228.0600000000002,5
"2023-11-03",1212.12,3
"2023-02-02",1211.2805,3
"2023-08-19",1206.2295,3
"2023-05-27",1190.4685,3
"2023-09-04",1187.445,3
"2023-11-20",1171.5059999999999,4
"2023-03-14",1168.167,4
"2023-07-25",1164.933,3
"2023-03-07",1159.0950000000003,3
"2023-05-12",1157.9610000000002,2
"2023-02-16",1148.5529999999999,2
"2023-05-18",1145.592,2
"2023-09-07",1143.366,2
"2023-08-13",1140.8670000000002,4
"2023-04-14",1133.4119999999998,3
"2023-12-15",1131.2805,2
"2023-11-23",1130.0415,4
"2023-03-04",1128.5605,3
"2023-11-24",1119.993,3
"2023-11-12",1103.7389999999998,2
"2023-08-10",1098.237,2
"2023-08-11",1095.192,2
"2023-03-02",1089.6695,4
"2023-11-18",1088.083,2
"2023-04-25",1085.6264999999999,6
"2023-04-16",1081.353,2
"2023-12-10",1075.4520000000002,3
"2023-01-16",1072.1865,4
"2023-04-29",1069.9815,7
"2023-01-29",1068.627,3
"2023-01-30",1064.3745,5
"2023-01-17",1063.8809999999999,3
"2023-02-24",1062.8944999999999,4
"2023-05-05",1060.511,3
"2023-11-13",1054.84,2
"2023-10-19",1051.69,3
"2023-01-18",1050.987,2
"2023-08-26",1044.4665,3
"2023-12-17",1033.546,3
"2023-04-02",1020.7049999999999,1
"2023-12-25",1017.177,4
"2023-11-05",1016.274,3
"2023-06-18",1016.2320000000001,2
"2023-12-22",1013.355,2
"2023-08-06",1009.9530000000001,3
"2023-04-01",1007.5905,4
"2023-11-19",1000.734,3
"2023-11-21",988.617,4
"2023-10-12",982.044,3
"2023-12-27",981.3399999999999,2
"2023-12-08",975.849,2
"2023-12-16",972.7415,5
"2023-04-13",971.8380000000001,3
"2023-01-11",957.4845,4
"2023-08-04",956.7710000000001,3
"2023-08-14",955.3320000000001,3
